SMILE,y_true,Refrence
c1(ccc(cc1)C#Cc1ccccc1C)C(=O)[O-].c1(ccccc1)[C@H]([NH3+])C,2.82,https://pubs.acs.org/doi/10.1021/cg201496j
Fc1cc2c(cc(I)c3c4c(C(O)(c23)c2ccccc2)cccc4)cc1.OC,2.62,https://pubs.acs.org/doi/10.1021/ol301153t
S(=O)(=O)(N1C[C@@H]1c1ccccc1)c1ccc(cc1)N(=O)=O,2.33,https://pubs.acs.org/doi/10.1021/jo702612u
OC(=O)c1c(ccc2c1cccc2)C(=O)O,2.53,https://pubmed.ncbi.nlm.nih.gov/1388945/
N(=O)(=O)c1[nH]cnc1N(=O)=O,2.42,10.1107/S2056989015013432
O(C(=O)[C@@H]1[C@@H](c2c3c(n(c2C)C)cccc3)CCCCC1=O)C.O(C(=O)[C@H]1[C@H](c2c3c(n(c2C)C)cccc3)CCCCC1=O)C,2.21,https://pubs.acs.org/doi/10.1021/ja300684r
C(#N)c1ccc(cc1)CN1CCN(Cc2ccc(C#N)cc2)CC1,2.45,https://pubs.rsc.org/en/content/articlelanding/2014/ce/c4ce00816b
s1ccc2oc(cc12)c1sc2c(occ2)c1,2.22,https://pubs.acs.org/doi/10.1021/jo301744s
O=C(Nc1ccccc1C=O)c1ccc2ccccc2c1,2.39,https://pubs.rsc.org/en/content/articlelanding/2016/ob/c5ob02529j
S(=O)(=O)(c1ccc(cc1)C)N[C@H]1[C@@H](SSC1)C.S(=O)(=O)(c1ccc(cc1)C)N[C@@H]1[C@H](SSC1)C,2.39,https://pubs.acs.org/doi/10.1021/jo100640w
O=Cc1[nH]c(cc1)c1ccc(OC)cc1,2.4,https://pubs.rsc.org/en/content/articlelanding/2015/ce/c5ce00927h
S(/N=C(\c1c(NC)ccc(Cl)c1)C(C)(C)C)(=O)C(C)(C)C,2.23,https://pubs.acs.org/doi/10.1021/jo1025767
O(C[C@](C#N)([C@@H](C)c1ccccc1)C)C(=O)c1ccc(N(=O)=O)cc1.O(C[C@@](C#N)([C@H](C)c1ccccc1)C)C(=O)c1ccc(N(=O)=O)cc1,2.46,https://pubs.acs.org/doi/10.1021/jo702681e
BrCc1cc2cc(CBr)c(cc2cc1CBr)CBr,2.51,https://pmc.ncbi.nlm.nih.gov/articles/PMC3007070/
N1(C2=CCCCC2=O)CCOCC1,2.39,https://pubs.acs.org/doi/10.1021/om101207a
Oc1c(Br)c(Br)c(c(c1Br)Br)O,2.52,https://onlinelibrary.wiley.com/iucr/doi/10.1107/S0108768199005911
O=N(=O)c1nn(N)nn1,2.52,https://pubs.rsc.org/en/content/articlelanding/2012/dt/c2dt30684k
c1([C@@H](COCc2ccccc2)O)c(COC(=O)c2ccc(cc2)N(=O)=O)nnn1Cc1ccccc1,2.22,https://pubs.acs.org/doi/10.1021/jo5009564
[C@@]1(CC(=O)[C@@H]2[C@H]3C=C[C@@H]([C@H]12)C3)(C(=O)OCC)CN(=O)=O.[C@]1(CC(=O)[C@H]2[C@@H]3C=C[C@H]([C@@H]12)C3)(C(=O)OCC)CN(=O)=O,2.26,https://pubs.acs.org/doi/10.1021/ol102283c
C(=N\c1ccc(cc1)OC)(/c1ccccc1)C(=O)OC,2.42,https://pubs.acs.org/doi/10.1021/ol500506t
N(=O)(=O)c1ccc(OCCCCCCO)cc1,2.48,https://pmc.ncbi.nlm.nih.gov/articles/PMC2969679/
C(=O)(O)c1c(cccc1)O.c1cnccc1c1ccncc1.c1(c(cccc1)O)C(=O)O,2.4,https://pubs.rsc.org/en/content/articlelanding/2014/ce/c4ce00866a
[P@]12(=S)[C@@H](CC[C@H]([P@]3(=S)C(=C(C(=C3c3ccccc3)C)C)C1=C(C(=C2c1ccccc1)C)C)C)C,2.06,https://pubs.acs.org/doi/10.1021/om0503646
S(=O)(=O)(N1C[C@@H]1c1ccccc1)c1ccc(cc1)N(=O)=O,2.33,https://pubs.acs.org/doi/10.1021/jo702612u
OC(=O)c1c(ccc2c1cccc2)C(=O)O,2.53,https://pubmed.ncbi.nlm.nih.gov/1388945/
N(=O)(=O)c1[nH]cnc1N(=O)=O,2.42,https://www.researchgate.net/publication/281163991_Crystal_structure_of_45-di-nitro-1H-imidazole
Brc1ccc2c(c1)cc(c(=O)o2)C(=O)C,2.31,https://www.sigmaaldrich.com/KR/ko/product/aldrich/s527343?srsltid=AfmBOop5rsOkU3-6eRLUtzV-8L1nznm-YbXRWZu_2zTwJL2wJdmW_Bf_
O(C(=O)[C@@H]1[C@@H](c2c3c(n(c2C)C)cccc3)CCCCC1=O)C.O(C(=O)[C@H]1[C@H](c2c3c(n(c2C)C)cccc3)CCCCC1=O)C,2.21,https://pubs.acs.org/doi/10.1021/ja300684r
C(#N)c1ccc(cc1)CN1CCN(Cc2ccc(C#N)cc2)CC1,2.45,https://pubs.rsc.org/en/content/articlelanding/2014/ce/c4ce00816b
O=C(C1CC(c2ccccc2)(C)C1)c1oc2c(c1)c1ccccc1cc2,2.22,https://www.researchgate.net/publication/244618877_3Methyl3-phenylcyclobutylnaphtho21-_b_furan-2-ylmethanone
